Emer_to_har,Seedling_stage,total_length,Max_temp,Min_temp,Temp_range,Total_precip_days,Wet_day_freq,Drought_days,hum,Sun_light,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,Rice_yield
128,14,142,30.45,18.35,12.1,445.5999926,45,5,77.83469931,25092.71,0.391895594,0.856989948,0.622852,0.296206643,0.704526306,0.4911419,0.263651391,0.621541992,0.4489,7855.339806
128,23,151,30.45,18.35,12.1,467.5999928,47,21,66.43266662,43465.64,0.510073605,0.720131128,0.678951056,0.273636862,0.593649117,0.509611576,0.280615621,0.507768306,0.461261832,9550.485437
141,19,160,30.45,18.35,12.1,477.5999944,49,6,77.24107127,25030.3,0.222127542,0.89566476,0.489913,0.15832833,0.751420232,0.490552,0.163807947,0.654459994,0.413551,7292.905983
140,16,156,30.45,18.35,12.1,473.0999942,48,6,82.7958683,25892.87,0.632662881,0.862535516,0.598296559,0.402482257,0.596883292,0.538522635,0.376022685,0.569951041,0.447686204,8089.858156
143,17,160,30.45,18.35,12.1,477.5999944,52,7,76.91730748,27017.6,0.481694143,0.846040498,0.704451,0.408693302,0.666852426,0.5591041,0.344604414,0.589519011,0.4190167,7392.721088
141,16,157,30.45,18.35,12.1,473.1999942,48,7,72.92252619,31714.35,0.402816709,0.862720551,0.66158994,0.246589336,0.635159859,0.55972398,0.246947327,0.587459629,0.491210301,9413.551402
136,14,150,30.45,18.35,12.1,449.5999929,48,8,79.06265669,33097.92,0.469086821,0.833038706,0.645046536,0.386964909,0.628984895,0.522721458,0.350578603,0.569073334,0.459540969,9571.212121
136,18,154,30.45,18.35,12.1,466.6999941,50,10,81.92568394,31328.73,0.529902901,0.812904935,0.565121663,0.353465304,0.493479677,0.392337656,0.325743534,0.479382921,0.36212195,7458.157895
128,15,143,30.45,18.35,12.1,437.3999928,48,23,70.21199997,35721.72,0.667363727,0.824827995,0.665997014,0.51472662,0.628098732,0.52629922,0.452758458,0.569500603,0.435674265,9268.390805
134,18,152,30.45,18.35,12.1,458.8999943,51,4,75.76768573,27777.38,0.280975088,0.711565044,0.661980443,0.474313521,0.553813754,0.531814469,0.216201427,0.495793825,0.517004756,6859.661017
