Emer_to_har,Seedling_stage,total_length,Max_temp,Min_temp,Temp_range,Total_precip_days,Wet_day_freq,Drought_days,hum,Sun_light,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,Rice_yield
134,21,155,31.59,18.53,13.06,669.900011,47,7,72.95732542,30747.37,0.494455165,0.87077243,0.645700134,0.306174059,0.714014281,0.572159475,0.295551357,0.642209591,0.494689018,10789.32584
132,5,137,31.59,18.64,12.95,602.0000075,52,15,77.46208997,28095.24,0.684211799,0.827987356,0.773224506,0.48331623,0.571267572,0.539023882,0.445097735,0.537025034,0.517906186,8168.817204
132,4,136,31.59,18.64,12.95,600.4000075,60,23,63.01026539,43094.73,0.340056836,0.799302785,0.64976508,0.253234233,0.630831319,0.474111609,0.235354611,0.559688213,0.452593412,8089.430894
129,17,146,30.68,18.13,12.55,575.6000108,57,18,72.94533084,32870.31,0.22228056,0.836699845,0.667652937,0.212186924,0.693966656,0.494092129,0.183199593,0.602343331,0.480592924,8402
129,15,144,30.68,18.13,12.55,558.4000118,50,7,82.28276076,27302.21,0.658493647,0.813382668,0.685011328,0.456408046,0.635820967,0.582812939,0.420759391,0.570261872,0.498291665,9673.94958
132,11,143,30.68,18.31,12.37,579.8000108,44,7,70.64209415,32960.8,0.602087838,0.805616268,0.664174779,0.410531084,0.630839109,0.491591475,0.390728344,0.557338478,0.466362452,7977.76699
134,9,143,30.68,18.31,12.37,579.4000108,48,8,68.66433328,35313.83,0.6482356,0.833484285,0.4882673,0.4872267,0.5,0.410573,0.3798551,0.54,0.4976452,5545.692308
133,10,143,30.68,18.31,12.37,579.9000108,54,7,78.17361094,28529.3,0.563281865,0.768983502,0.76781855,0.452914903,0.676733072,0.473638151,0.376283187,0.582707722,0.466479564,9522.857143
134,9,143,30.68,18.31,12.37,579.9000108,47,12,67.05820092,34994.16,0.607341469,0.875485339,0.682190456,0.461092383,0.733111964,0.581699398,0.405552768,0.65350874,0.507413004,6359.574468
129,9,138,30.68,18.31,12.37,574.7000107,49,20,70.67322828,40721.96,0.708685577,0.872896171,0.665797431,0.560018122,0.654166491,0.491022074,0.508837071,0.610857876,0.437820679,7016.923077
133,11,144,30.68,17.83,12.85,543.0000037,52,7,79.18942286,26849.59,0.535999131,0.848536257,0.673098398,0.350425046,0.737811728,0.525006794,0.324279854,0.580149695,0.480127347,8968.47619
129,15,144,30.68,17.83,12.85,550.2000046,49,6,77.57386348,28392.13,0.362063853,0.750392257,0.534501,0.282232669,0.565475726,0.439946,0.253823065,0.595550527,0.497786,6887.570093
127,10,137,30.68,17.83,12.85,526.0000039,46,9,69.02658021,38087.73,0.539147251,0.899397933,0.740626384,0.375042706,0.815592601,0.585716563,0.334995121,0.695678338,0.54437986,8629.032258
128,15,143,30.68,17.83,12.85,540.9000036,46,21,64.83193281,43942.86,0.538410456,0.75032312,0.533863564,0.283601915,0.586524244,0.36065085,0.294323852,0.511410007,0.349922085,9119.626168
125,14,139,30.68,17.83,12.85,531.5000045,48,5,77.60350511,25858.86,0.346870789,0.841246896,0.524555,0.229448501,0.656459123,0.6011351,0.218195097,0.585669945,0.3901141,6859.775281
129,16,145,33.12,17.85,15.27,477.3999929,51,7,82.65220374,21009.11,0.848325197,0.829112808,0.720310713,0.648360899,0.665215608,0.514915136,0.579206691,0.576771758,0.490137907,8605.357143
