emer_season,emer_har,seed_stage,total_length,avg_temp,max_temp,min_temp,temp_range,total_precip,precip_airport_meteo,precip_airport,wet_day_freq,drought_days,hum,sunlight,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,yield
MAM,126,9,135,24.9,33.55,18.24,15.31,673.1000158,809.8,741.3,56,4,77.31767129,26928.61,0.543253,0.817308768,0.66452,0.4723534,0.685909281,0.49235,0.4024,0.593496173,0.4155,7654.122807
MAM,119,9,128,23.03,32.23,17,15.23,523.6000052,844.8,958,45,5,73.3534721,27005.63,0.716378519,0.759059172,0.666998153,0.438421851,0.581147288,0.612562847,0.455601403,0.510134653,0.505051218,7198.841699
SON,126,9,135,22.22,30.45,15.81,14.64,457.2,773,907,53,7,78.35961517,27532.4,0.529192998,0.8369245,0.778089824,0.425167826,0.69176459,0.62412468,0.348903461,0.591071575,0.562062948,9012.686567
DJF,123,13,136,22.66,30.45,18.35,12.1,391.2999987,757.6,933.1,49,8,76.82644353,27733.54,0.486908831,0.729491484,0.663459849,0.325394994,0.526313452,0.422275481,0.261646258,0.467544669,0.416584374,7116.329114
MAM,119,10,129,22.81,30.68,17,13.68,507.200006,714.15,836.6,51,3,75.87291654,27891.25,0.369885334,0.760259937,0.638535374,0.485191259,0.609669358,0.551426214,0.254725506,0.533877912,0.487373104,7205.526316
JJA,123,27,150,23.01,31.59,17.71,13.88,637.3000118,785.9,848.7,53,10,78.7093837,28382.3,0.399100512,0.822612231,0.549095685,0.255316685,0.501020756,0.402261434,0.237221565,0.488752691,0.321253902,8546.052632
JJA,137,20,157,24.22,32.92,17.52,15.4,693.0000104,774.95,753.8,54,10,78.5896358,28611.43,0.493332352,0.756288049,0.57984,0.312076111,0.536938213,0.5148,0.28194253,0.482674601,0.459434795,7952.03252
MAM,119,9,128,22.81,30.68,17,13.68,502.400006,714.15,836.6,51,9,77.23557689,28938.68,0.486284156,0.705775489,0.623031365,0.28850883,0.498487906,0.411174068,0.276546861,0.459719605,0.402872029,6971.186441
MAM,123,8,131,23.03,32.23,17,15.23,522.6000048,844.8,958,52,10,77.42154938,29376.4,0.51098534,0.807762618,0.618259093,0.339604599,0.625973693,0.454872689,0.317223084,0.56728594,0.424989092,8042.471042
JJA,114,31,145,23.1,31.59,17.71,13.88,615.1000079,796.35,842.5,58,13,77.03562324,29491.44,0.510064892,0.808160611,0.535350432,0.369355043,0.687728132,0.364103447,0.339586444,0.5918984,0.368714878,7694.155844
MAM,140,4,144,24.53,32.92,17.52,15.4,677.4000136,772.9,660.1,50,8,82.47646296,29546.58,0.661248005,0.863899122,0.389206171,0.45721274,0.675525382,0.270174193,0.418759031,0.614339109,0.225116295,9949.50495
JJA,134,20,154,23.29,32.92,15.81,17.11,649.1000061,760.75,798.7,50,9,82.57487459,29588.86,0.539218377,0.795128676,0.542075161,0.356843397,0.480909992,0.42441536,0.326635227,0.478286407,0.362385391,6843.2
JJA,140,20,160,23.29,32.92,15.81,17.11,660.8000062,760.75,798.7,53,15,77.14583316,29605.15,0.689246413,0.8534667,0.780909934,0.500575921,0.61176829,0.561922223,0.456354284,0.573769808,0.535084708,8860
SON,118,15,133,22.43,30.49,18.13,12.36,551.3000117,769.9,918.8,55,10,79.97623691,29621.82,0.536562308,0.735633101,0.591986329,0.316024176,0.470634306,0.52100323,0.315208623,0.441116406,0.420072998,6766.588235
JJA,122,24,146,23.01,31.59,17.71,13.88,605.0000102,785.9,848.7,42,7,73.87327821,29823.55,0.5338551,0.867560406,0.632195683,0.335200094,0.667581188,0.528584891,0.325388314,0.609105095,0.475805495,8723.305085
SON,117,14,131,22.43,31.25,18.13,13.12,549.8000117,769.9,918.8,53,10,79.96188623,29859.27,0.516908608,0.771745067,0.608814522,0.341450411,0.495184193,0.494970984,0.329790757,0.463180608,0.40447765,7378.571429
DJF,112,24,136,23.97,33.29,18.77,14.52,403.5000047,824,1075.2,55,6,73.19761015,29935.36,0.58331,0.75659115,0.692239,0.475229,0.598854623,0.492441,0.42231,0.528153155,0.487535,8030.769231
JJA,120,25,145,23.01,31.59,17.71,13.88,606.6000097,785.9,848.7,58,14,76.81186852,30169.3,0.485034398,0.855494328,0.727494591,0.33105555,0.656734059,0.514452246,0.309383875,0.586763522,0.497557604,8479.473684
JJA,120,27,147,23.01,31.59,17.71,13.88,606.3000102,785.9,848.7,60,11,78.74551271,30462.49,0.523419475,0.826223848,0.648829,0.364545757,0.579155639,0.5013551,0.323627214,0.545128137,0.4011495,7569.009901
SON,115,12,127,23.09,33.12,17.85,15.27,442.499993,549,583.4,45,14,69.8711805,30766.87,0.751152499,0.805906367,0.531731996,0.637341754,0.554864889,0.413744689,0.537535432,0.510218178,0.414443223,8796.666667
